###################################
# scenario: NC
# net: mid-caffenet
# strategy: naive
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7	Batch8
1	17,98%	25,89%	32,95%	38,42%	45,41%	50,55%	58,28%	64,41%	70,40%
2	17,97%	26,24%	33,23%	40,61%	48,60%	54,03%	58,79%	63,08%	70,72%
3	17,98%	24,78%	31,04%	38,55%	45,84%	51,45%	58,78%	67,38%	69,59%
4	17,98%	26,58%	32,95%	38,72%	46,29%	52,14%	58,78%	61,89%	70,99%
avg	17,98%	25,92%	32,53%	39,26%	46,37%	51,78%	57,75%	64,07%	70,41%
dev.std	0,00%	0,68%	0,88%	0,98%	1,29%	1,41%	2,03%	2,06%	0,53%
###################################
# scenario: NC
# net: mid-caffenet
# strategy: copyweights
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7	Batch8
0	13,93%	16,39%	18,26%	20,19%	20,76%	21,89%	22,69%	25,54%	27,34%
1	13,90%	15,94%	17,28%	19,55%	21,96%	23,11%	26,23%	28,57%	29,11%
2	13,91%	15,58%	18,12%	20,46%	23,79%	25,53%	26,57%	27,15%	30,09%
3	13,92%	15,72%	16,87%	19,02%	21,87%	23,61%	26,78%	28,81%	29,98%
4	13,90%	15,82%	17,67%	18,85%	21,82%	24,54%	24,65%	25,34%	27,34%
5	13,90%	15,55%	19,32%	22,70%	24,83%	24,88%	26,23%	26,78%	27,76%
6	13,91%	15,58%	18,71%	20,78%	21,64%	22,08%	23,05%	24,00%	26,34%
7	13,91%	14,99%	17,68%	21,29%	23,41%	26,50%	27,69%	28,37%	29,56%
8	13,90%	15,55%	19,32%	20,38%	23,46%	24,24%	25,34%	25,95%	27,53%
9	13,90%	15,72%	17,74%	18,95%	19,73%	20,83%	23,12%	26,33%	28,19%
avg	13,91%	15,68%	18,14%	20,36%	22,62%	24,04%	25,47%	26,72%	28,34%
dev.std	0,01%	0,35%	0,82%	1,21%	1,53%	1,77%	1,77%	1,57%	1,28%
###################################
# scenario: NC
# net: mid-caffenet
# strategy: freezeweights
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7	Batch8
0	13,93%	9,00%	8,15%	8,72%	10,01%	8,80%	10,21%	12,78%	14,98%
1	13,90%	7,99%	8,22%	7,54%	10,64%	12,00%	13,88%	16,34%	16,70%
2	13,91%	8,78%	8,41%	10,56%	10,91%	11,12%	8,17%	10,23%	13,29%
3	13,92%	8,02%	6,72%	8,44%	9,72%	12,54%	16,64%	13,38%	14,49%
4	13,90%	8,18%	7,12%	7,77%	11,12%	13,69%	12,62%	12,25%	13,89%
5	13,90%	7,61%	8,85%	9,83%	10,85%	9,51%	11,20%	11,98%	11,48%
6	13,91%	8,78%	10,59%	7,92%	7,78%	9,50%	12,59%	11,52%	15,01%
7	13,91%	7,95%	8,46%	9,72%	10,03%	13,90%	10,77%	11,32%	9,85%
8	13,90%	7,61%	8,85%	8,69%	11,83%	11,28%	10,92%	11,42%	12,95%
9	13,90%	8,02%	8,62%	9,60%	7,50%	8,26%	12,68%	16,15%	15,86%
avg	13,91%	8,21%	8,37%	8,80%	10,32%	11,37%	11,89%	12,36%	13,63%
dev.std	0,01%	0,49%	1,04%	1,01%	1,41%	2,00%	2,30%	2,04%	2,05%
