###################################
# scenario: NICv2 - 79
# net: MobileNet v1
# strategy: AR1*
###################################
###################################
# scenario: NICv2 - 79
# net: MobileNet v1
# strategy: CWR*
###################################
7,174	14	14,391	14,696	17,304	18	18,217	20,217	21,13	21,609	23,217	23,304	23,826	22,957	24,652	25,13	25,217	28,261	29,87	30,565	30,957	31,783	32	32,348	32,522	33,87	34,13	34,217	34,652	35,522	35,87	37,348	37,478	37,783	38,783	40,043	40,565	40,957	42,174	43,565	43,739	43,435	43,913	45,13	45,696	46,391	46,783	47,217	47,609	47,435	47,565	43,261	43,565	46,522	47,304	47,348	47,783	49,696	50,565	52,043	52,609	53,174	53,304	53,609	54,13	55,304	55,87	56,478	57,174	58,043	58,174	58,739	58,652	59,348	59,826	59,348	59,348	59,783	59,478	59,348
7,174	14	14,696	13,783	15,565	15,348	15,913	15,913	16,696	17,696	17,652	18,652	18,826	18,435	19,609	20,087	20,913	21,13	21,652	22,13	22,696	22,348	23,565	24,217	24,826	26,13	26,391	27,739	28,043	27,087	27,391	29,043	29,348	30,391	30,783	31,348	31,826	32,522	33,13	35,174	35,261	36,652	37,087	38,522	38,739	39,087	39,304	41,043	42,391	43,652	43,478	43,348	44,783	45,957	46,478	47,174	47,348	47,913	47,913	48,043	48,478	48,913	49,826	49,913	50,522	50,652	51,435	51,435	52,087	51,783	52,783	53,13	52,609	52,783	53,391	52,826	52,696	53,652	53,565	54,13
7,174	14	12,522	14,435	13,957	14,565	15,478	17,087	17,522	19,087	19,174	18,87	20,261	20,565	20,826	21,739	23,043	23,652	24,652	25,391	25,522	25,913	27,522	28,261	28,696	29,783	26,87	28,435	28	28,087	31,391	32,174	33,478	33,696	33,783	31,217	32,217	33,217	33,391	34,435	35,13	36,304	37,217	38,391	40,261	41,13	41,13	44,261	44,435	44,522	43,565	43,478	44,304	45,348	45,652	46,391	47,565	48,522	48,652	50,174	50,348	51,217	51,783	50,217	52	54,261	54,87	55,565	56,304	56,435	56,87	56,522	56,217	56,348	55,696	55,826	55,217	55,739	55,435	56,087
7,174	14	14,739	15,348	15,087	16	15,826	17,565	17,87	18,435	19,783	19,435	20,217	21,087	21,478	22,217	22	23	25,478	26,174	26,043	26,522	27,217	26,783	26,913	27,391	28,261	29,174	29,087	29,783	30,13	30,565	31,478	31,913	33,261	33,739	35,391	36	37,13	38,652	39,609	40,174	40,522	41,609	42,478	42,826	43,043	43,261	43,522	43,652	45,435	47,13	48,043	48,478	49,609	49,261	49,348	50,348	50,696	51,13	52,826	52,348	52,783	53,348	54,087	55,043	55,087	55,609	55,87	55,87	55,957	56,87	57	57,522	57,435	57,391	58,261	58,913	59,435	59,043
7,174	14	14,696	14,739	14,391	15,13	14,826	16,87	17,565	17,826	18,174	18,261	19,043	20,174	19,087	20,261	21,348	21,826	23,043	24,13	25,696	26,261	26,87	27,609	27,696	28,913	29,652	30,304	31,565	32,261	32,348	33,522	33,609	34,304	37,174	37,913	39,13	39,696	40,087	39,957	41,043	41,13	41,739	42,783	43,174	42,913	43,217	43,913	43,87	44,13	44,783	44,826	45,304	46,174	46,696	47,348	48,13	47,087	47,87	48,522	48,522	48,87	48,87	49,304	50,13	52,348	52,696	52,783	52,783	53,739	53,435	53,652	53,739	53,739	54,217	54,522	54,87	54,696	54,783	54,522
7,174	14	12,957	13,652	13	14,957	16,174	18,174	19,217	20,435	21,391	21,348	21,217	22	22,304	22,261	23,043	24,261	24,391	24,652	24,783	25,217	26,87	26,87	28,043	28,739	29,217	29,522	30,87	32,261	33,478	34,304	34,565	35,609	36,478	36,783	37,478	37,696	38	38,13	38,739	39,13	39,391	39,957	41,826	41,826	40,304	42,13	42,522	42,826	43,696	44,261	44,609	45,217	45,304	45,739	46,478	46,304	47,13	47,696	48,391	49,478	50,478	50,522	51,217	51,043	51,435	51,87	53,261	53,217	52,522	53,739	54,391	55,522	55,174	54,957	55,043	55,696	56,087	56,13
7,174	14	13,087	15,348	15,87	15,565	17,478	17,609	17,478	18,391	19,391	20,478	19,826	20,261	20,217	21,304	21,652	24,174	24,043	25,348	26,304	28	29,217	29,783	30,435	30,913	31,957	32,087	32,261	32,696	33	33,261	34	34,609	36	37,304	37,87	36,348	36,652	38,652	39,304	39,13	39,348	40,304	40,609	41,87	43,304	44,652	45,696	45,609	45,565	46,478	46,696	47,087	47,261	47,522	47,783	47,826	48,261	48,913	49,913	50,87	51,565	51,826	52,217	52,043	52,783	53	54,348	55,13	55,652	55,696	56,826	56,826	56,565	57,217	57,391	56,739	57,087	56,826
7,174	14	15,87	16	16,739	17,348	19,174	19,87	20	20,609	20,826	20,739	21,391	21,696	22,826	24,696	25,174	25,043	26,478	27,174	27,565	28,435	28,565	29,087	30,217	31,957	32,174	32,348	33	33,348	34,391	35,174	36,217	37,043	37,565	37,739	37,739	38,261	39,174	39,217	40,174	40,783	41,304	41,391	43,043	43,783	44,913	44,435	43,13	43,522	43,87	45,13	45,348	46,217	47,13	47,348	48,391	49,261	49,783	51,087	51,348	52	53,174	53,696	54,087	54,087	54,957	56,435	56,87	57,261	57,304	56,87	58,304	59,087	59,304	59,391	59,783	59,609	59,913	60
7,174	14	14,783	17,261	17,957	18,609	20,087	19,826	20,739	21,217	19,565	20,522	22,304	22,565	23,435	22,87	24,304	23,13	23,913	24,565	25,696	25,391	25,87	27,609	28,217	28,783	29,696	29,522	30,609	31,13	31,13	31,696	32,13	32,652	32,913	33,304	33,652	34,087	35,826	36,957	37,696	37,652	37,783	38	38,391	38,609	38,348	37,87	39,522	40,261	40	40,348	41,435	41,739	42,087	43,348	44	44,565	46,13	47	48,348	49,261	49,391	49,913	49,609	50,087	50,565	51,043	52,609	53,435	54,391	55,87	55,609	56	55,87	55,826	56,304	56,174	56,348	57,13
